dim 3,3
board cell 1,4 given 6
board cell 1,8 given 9
board cell 1,9 given 2
board cell 2,1 given 6
board cell 2,3 given 9
board cell 2,5 given 1
board cell 2,8 given 5
board cell 3,1 given 2
board cell 3,4 given 7
board cell 3,8 given 4
board cell 3,9 given 6
board cell 5,1 given 1
board cell 5,2 given 8
board cell 5,3 given 6
board cell 5,4 given 5
board cell 5,5 given 2
board cell 5,6 given 7
board cell 5,7 given 4
board cell 5,8 given 3
board cell 5,9 given 9
board cell 6,1 given 7
board cell 7,1 given 5
board cell 7,2 given 6
board cell 7,6 given 4
board cell 8,1 given 9
board cell 8,2 given 1
board cell 8,5 given 8
board cell 8,9 given 4
board cell 9,1 given 8
board cell 9,2 given 2
board cell 9,3 given 4
board cell 9,6 given 6
